word,phonetics,origin,definition,partOfSpeech
chromolithographer,ˌlim-ˌfan-jē-ō-ˌen-dō-ˌthē-lē-ˈō-mə,,a tumor composed of lymphoid and endothelial tissue,noun
crystallographical,ˌmī-krə-ˌspek-trə-fō-ˈtäm-ət-ər,,a spectrophotometer adapted to the examination of light transmitted by a very small specimen (as a single organic cell),noun
cardiosphygmograph,ˌmī-krə-ˌspek-trə-fō-ˈtäm-ət-ər,,a spectrophotometer adapted to the examination of light transmitted by a very small specimen (as a single organic cell),noun
ballistocardiogram,bə-ˈlis-tō-ˈkärd-ē-ə-ˌgram,,the record made by a ballistocardiograph,noun
diethylstilbestrol,-stil-ˈbes-ˌtrȯl,,"a synthetic estrogen drug C18H20O2 used formerly to prevent miscarriage or premature delivery in humans and to promote growth in livestock —called also DES, stilbestrol",noun
electrodynamometer,-ga-ˈsträs-tə-mē,,surgical formation of an artificial passage connecting the pancreas to the stomach,noun
fibrocartilaginous,"ˌfī-(ˌ)brō-ˈkärt-ᵊl-ij, -ˈkärt-lij",,cartilage in which the matrix except immediately about the cells is largely composed of fibers like those of ordinary connective tissue; also : a structure or part composed of such cartilage,noun
glomerulonephritis,-ˌmer-(y)ə-lō-ni-ˈfrīt-əs,,"acute or chronic nephritis that involves inflammation of the capillaries of the renal glomeruli, has various causes (such as streptococcal infection, lupus, or vasculitis) or may be of unknown cause, is marked especially by blood or protein in the urine and by edema, and if untreated may lead to kidney failure",noun
gastroenterologist,-ˌen-tə-ˈräl-ə-jist,,a specialist in gastroenterology,noun
hyperaldosteronism,"ˌhī-pə-ˌral-ˈdäs-tə-ˌrō-ˌniz-əm, -ˌral-dō-stə-ˈrō-",,aldosteronism,noun
hypercholesteremia,ˌhī-pər-kə-ˌles-tə-rə-ˈlē-mē-ə,,the presence of excess cholesterol in the blood,noun
hemidemisemiquaver,-in-ˌsef-ə-lō-ˌmī-ə-ˈlīt-əs,,inflammation of the gray matter of the brain and the spinal cord,noun
histocompatibility,ˈhis-(ˌ)tō-kəm-ˌpat-ə-ˈbil-ət-ē,,a state of mutual tolerance between tissues that allows them to be grafted effectively,noun
hypoparathyroidism,-ˌpar-ə-ˈthī-ˌrȯid-ˌiz-əm,,"an endocrine disorder that is marked by a deficiency of parathyroid hormone resulting in hypocalcemia and hyperphosphatemia and that is characterized especially by muscle weakness and cramps, tingling or numbness of the lips, hands, or feet, fatigue, and sometimes tetany",noun
hydroflumethiazide,-ˌflü-mə-ˈthī-ə-ˌzīd,,a diuretic and antihypertensive drug C8H8F3N3O4S2,noun
hyperbilirubinemia,,,the presence of an excess of bilirubin in the blood —called also bilirubinemia,noun
hydrometallurgical,ˌspek-trō-fə-ˈtäm-ət-ər,,a photometer for measuring the relative intensities of the light in different parts of a spectrum,noun
haematodynamometer,-ˌmas-ˈtȯid-ē-əs,,sternocleidomastoid,noun
immunofluorescence,ˌthī-rō-ˌpar-ə-ˌthī-ˌrȯid-ˈek-tə-mē,,excision of both the thyroid and parathyroid glands,noun
indecomposableness,"(ˌ)dē-ˌäk-sē-ˌrī-bō-ˌn(y)ü-klē-ō-ˈprō-ˌtēn, -ˈprōt-ē-ən",,a nucleoprotein that yields DNA on hydrolysis,noun
iatromathematician,-ˌdī-ˌflu̇r-ə-ˈmeth-ˌān,,a nontoxic nonflammable gas CCl2F2 used as a refrigerant and as a propellant,noun
laryngopharyngitis,-ˌfar-ən-ˈjīt-əs,,inflammation of both the larynx and the pharynx,noun
mucopolysaccharide,ˈmyü-kō-ˌpäl-i-ˈsak-ə-ˌrīd,,glycosaminoglycan,noun
methyltestosterone,-te-ˈstäs-tə-ˌrōn,,a synthetic androgen C20H30O2 administered orally especially in the treatment of male testosterone deficiency,noun
nonprognosticative,ˌmī-krə-ˌspek-trə-fō-ˈtäm-ət-ər,,a spectrophotometer adapted to the examination of light transmitted by a very small specimen (as a single organic cell),noun
naleadministration,-ˈnäs-tə-mē,,surgical formation of an artificial opening connecting the pancreas to the duodenum,noun
psychopharmacology,ˌpäl-i-ˌte-trə-ˌflu̇(-ə)r-ō-ˈeth-ə-ˌlēn,,a polymer of tetrafluoroethylene (CF2—CF2)n that is a resin with good resistance to chemicals and heat and that is used to fabricate prostheses —abbreviation PTFE,noun
psychotherapeutics,-iks,,psychotherapy,noun
psychopathological,ˌsī-kō-ˌpath-ə-ˈläj-i-kəl,,"of, relating to, or exhibiting psychopathology",adjective
polypropenonitrile,"-ˌklōr-ˈär-ˌsēn, -ˌklȯr-, -sən",,adamsite,noun
pepsinhydrochloric,-ˌgraf,,an instrument for recording the changes of electrical potential occurring during the heartbeat used especially in diagnosing abnormalities of heart action,noun
parallelogrammatic,-ˌlek-trə-fə-ˈrē-səs,,electrophoresis in which the movement of single particles is observed in a microscope; also : electrophoresis in which micromethods are used,noun
pleuroperipneumony,"ˌte-trə-ī-ˌō-dō-ˌfēn-ᵊl-ˈthal-ē-ən, -ˈthal-ˌēn, -ˈthāl-",,iodophthalein,noun
spectrographically,-ˌgraf,,an instrument for dispersing radiation (as electromagnetic radiation or sound waves) into a spectrum and photographing or mapping the spectrum,noun
semiphlogisticated,-ˌgraf,,an apparatus for detecting and recording brain waves —called also encephalograph,noun
tetrachloromethane,"-ˈmeth-ˌān, {it}British usually{/it} -ˈmē-ˌthān",,carbon tetrachloride,noun
trichlormethiazide,ˌtrī-ˌklȯr-me-ˈthī-ə-ˌzīd,,a diuretic and antihypertensive drug C8H8Cl3N3O4S2,noun
triphosphopyridine,ˈtrī-ˈfäs-fō-ˌpir-ə-ˌdēn-,,nadp,noun
auriculoventricular,"ȯ-ˌrik-yə-(ˌ)lō-ven-ˈtrik-yə-lər, -vən-",,atrioventricular,adjective
adrenocorticotropic,-ˈtrō-pik,,acting on or stimulating the adrenal cortex,adjective
adrenocorticotropin,-ˈtrō-pən,,acth,noun
ballistocardiograph,-ˌgraf,,a device for measuring the amount of blood passing through the heart in a specified time by recording the recoil movements of the body that result from contraction of the heart muscle in ejecting blood from the ventricles,noun
bacteriochlorophyll,"bak-ˌtir-ē-ō-ˈklōr-ə-ˌfil, -ˈklȯr-, -fəl",,a pyrrole derivative in photosynthetic bacteria related to the chlorophyll of higher plants,noun
chromatographically,ˌkrō-mə-ˈtäg-rə-fē,,a process in which a chemical mixture carried by a liquid or gas is separated into components as a result of differential distribution of the solutes as they flow around or over a stationary liquid or solid phase,noun
countertransference,"ˌkau̇nt-ər-tran(t)s-ˈfər-ən(t)s, -ˈtran(t)s-(ˌ)",,"[""psychological transference especially by a psychotherapist during the course of treatment; especially : the psychotherapist's reactions to the patient's transference"", 'the complex of feelings of a psychotherapist toward the patient",noun
cytophotometrically,-(ˌ)fō-ˈtäm-ə-trē,,photometry applied to the study of the cell or its constituents,noun
chromoblastomycosis,ˌkrō-mə-ˌblas-tə-ˌmī-ˈkō-səs,,"a chronic infection of skin and subcutaneous tissues that is caused by any of several darkly-pigmented fungi (such as Fonsecaea pedrosoi, Phialophora verrucosa, or Cladophialophora carrionii), is marked by the formation of usually warty, nodular, or scaly lesions especially on the legs or feet, and occurs chiefly in tropical regions —called also chromomycosis",noun
diethylstilboestrol,-stil-ˈbes-ˌtrȯl,,"a synthetic estrogen drug C18H20O2 used formerly to prevent miscarriage or premature delivery in humans and to promote growth in livestock —called also DES, stilbestrol",noun
echoencephalography,-in-ˌsef-ə-ˈläg-rə-fē,,the use of ultrasound to examine and measure internal structures (as the ventricles) of the skull and to diagnose abnormalities and disease,noun
encephalomeningitis,-ˌmen-ən-ˈjīt-əs,,meningoencephalitis,noun
hydrochlorothiazide,"-ˌklōr-ə-ˈthī-ə-ˌzīd, -ˌklȯr-",,a diuretic and antihypertensive drug C7H8ClN3O4S2 —abbreviation HCTZ,noun
hypoadrenocorticism,-ə-ˌdrē-nō-ˈkȯrt-ə-ˌsiz-əm,,"[""abnormally decreased activity of the adrenal cortex (as in Addison's disease)""]",noun
intellectualisation,,,to give rational form or content to; to avoid conscious recognition of the emotional basis of (an act or feeling) by substituting a superficially plausible explanation,verb
meningoencephalitis,-ən-ˌsef-ə-ˈlīt-əs,,inflammation of the brain and meninges —called also encephalomeningitis,noun
parasympathomimetic,"ˌpar-ə-ˌsim-pə-(ˌ)thō-mī-ˈmet-ik, -mə-",,simulating parasympathetic nervous action in physiological effect,adjective
pseudohallucination,-hə-ˌlüs-ᵊn-ˈā-shən,,an externalized sensory image vivid enough to be a hallucination but recognized as unreal,noun
pseudohermaphrodite,-(ˌ)hər-ˈmaf-rə-ˌdīt,,an individual exhibiting pseudohermaphroditism,noun
pneumoencephalogram,-in-ˈsef-ə-lə-ˌgram,,a radiograph made by pneumoencephalography,noun
phacoemulsification,,,a cataract operation in which the diseased lens is reduced to a liquid by ultrasonic vibrations and drained out of the eye,noun
phenylpropanolamine,"ˌfen-ᵊl-ˌprō-pə-ˈnȯl-ə-ˌmēn, -ˈnōl-; -nȯ-ˈlam-ˌēn",,a sympathomimetic agent that has been used in the form of its hydrochloride C9H13NO·HCl especially as a nasal decongestant and appetite suppressant but has been largely withdrawn from use because of its link to hemorrhagic stroke —abbreviation PPA,noun
sternocleidomastoid,ˌstər-nō-ˌklīd-ə-ˈmas-ˌtȯid,,"a thick superficial muscle on each side that arises by one head from the first segment of the sternum and by a second from the inner part of the clavicle, that inserts into the mastoid process and occipital bone, and that acts especially to bend, rotate, flex, and extend the head",noun
tetrafluoroethylene,ˌte-trə-ˌflu̇(-ə)r-ō-ˈeth-ə-ˌlēn,,a flammable gaseous fluorocarbon CF2=CF2 used in making polytetrafluoroethylene resins,noun
tetrachloroethylene,ˌte-trə-ˌklō-rō-ˈeth-ə-ˌlēn,,perchloroethylene,noun
ultracentrifugation,-ˌsen-trə-fyu̇-ˈgā-shən,,the process of using an ultracentrifuge,noun
adrenocorticotrophic,-ˈtrō-pik,,acting on or stimulating the adrenal cortex,adjective
adrenocorticotrophin,-ˈtrō-pən,,acth,noun
abetalipoproteinemia,"ˌā-ˌbā-tə-ˌlī-pə-ˌprō-tē-ˈnē-mē-ə, -ˌli-pə-, -ˌprō-tē-ə-ˈnē-, {it}chiefly British{/it} -ˌbē-",,a rare genetic disorder in which the body is unable to absorb dietary fats and fat-soluble vitamins (such as vitamin A and E) because of an absence of apolipoprotein B-containing lipoproteins (such as chylomicrons and VLDLs) in the blood plasma —called also Bassen-Kornzweig syndrome,noun
compartmentalisation,,,isolation or splitting off of part of the personality or mind with lack of communication and consistency between the parts,noun
electroencephalogram,-in-ˈsef-ə-lə-ˌgram,,the tracing of brain waves made by an electroencephalograph,noun
hypercholesterolemia,ˌhī-pər-kə-ˌles-tə-rə-ˈlē-mē-ə,,the presence of excess cholesterol in the blood,noun
histoincompatibility,ˈhis-(ˌ)tō-ˌin-kəm-ˌpat-ə-ˈbil-ət-ē,,a state of mutual intolerance between tissues (as of a fetus and its mother or a graft and its host) that normally leads to reaction against or rejection of one by the other,noun
hyperadrenocorticism,ˈhī-pə-rə-ˌdrē-nō-ˈkȯrt-ə-ˌsiz-əm,,"[""an abnormal condition marked by the presence of an excess of adrenocortical hormones and especially cortisol in the body; especially : cushing's syndrome""]",noun
hyperlipoproteinemia,,,the presence of excess lipoprotein in the blood,noun
immunohistochemistry,-ˌhis-tō-ˈkem-i-kəl,,of or relating to the application of histochemical and immunologic methods to chemical analysis of living cells and tissues,adjective
iodochlorhydroxyquin,ī-ˌōd-ə-ˌklōr-hī-ˈdräk-sē-ˌkwin,,an antimicrobial and mildly irritant drug C9H5ClINO formerly used especially as an antidiarrheal but now used mainly as an antiseptic,noun
keratoconjunctivitis,ˈker-ə-(ˌ)tō-kən-ˌjəŋ(k)-tə-ˈvīt-əs,,combined inflammation of the cornea and conjunctiva; especially : epidemic keratoconjunctivitis,noun
lipochondrodystrophy,-ˌkän-drə-ˈdis-trə-fē,,mucopolysaccharidosis; especially : hurler syndrome,noun
noninstitutionalised,,,not institutionalized; especially : not having been placed in a special institution,adjective
noninstitutionalized,,,not institutionalized; especially : not having been placed in a special institution,adjective
pseudohermaphroditic,-(ˌ)hər-ˈmaf-rə-ˌdīt,,an individual exhibiting pseudohermaphroditism,noun
acetylphenylhydrazine,"-ˌfen-ᵊl-ˈhī-drə-ˌzēn, -ˌfēn-",,a white crystalline compound C8H10ON2 less toxic than phenylhydrazine and used in the symptomatic treatment of polycythemia,noun
anatomicopathological,ˌan-ə-ˌtäm-ə-(ˌ)kō-ˌpath-ə-ˈläj-ik,,of or relating to anatomy and pathology or to pathological anatomy,adjective
ballistocardiographic,-ˌgraf,,a device for measuring the amount of blood passing through the heart in a specified time by recording the recoil movements of the body that result from contraction of the heart muscle in ejecting blood from the ventricles,noun
cineangiocardiography,ˌsin-ē-ˌan-jē-ō-ˌkärd-ē-ˈäg-rə-fē,,motion-picture photography of a fluoroscopic screen recording passage of a contrasting medium through the chambers of the heart and large blood vessels,noun
cytospectrophotometry,ˌsīt-ə-ˌspek-trō-fō-ˈtäm-ə-trē,,the application of spectrophotometry to the study of cells and especially to the quantitative estimation of their constituents (as DNA),noun
clinicopathologically,ˈklin-i-(ˌ)kō-ˌpath-ə-ˈläj-ik,,relating to or concerned both with the signs and symptoms directly observable by the physician and with the results of laboratory examination,adjective
dacryocystorhinostomy,-ˌsis-tə-ˌrī-ˈnäs-tə-mē,,surgical creation of a passage for drainage between the lacrimal sac and the nasal cavity,noun
dehydrocorticosterone,"i-ˈlev-ən-(ˌ)dē-ˌhī-drō-ˌkȯrt-ə-ˈkäs-tə-ˌrōn, -i-(ˌ)kō-stə-ˈ",,a steroid C21H28O4 extracted from the adrenal cortex and also made synthetically,noun
duodenocholedochotomy,d(y)u̇-ˌäd-ᵊn-ō-kə-ˌled-ə-ˈkät-ə-mē,,choledochotomy performed by approach through the duodenum by incision,noun
electrodiagnostically,-ˌdī-ig-ˈnäs-tik,,involving or obtained by the recording of responses to electrical stimulation or of spontaneous electrical activity (as in electromyography) for purposes of diagnosing a pathological condition,adjective
electroencephalograms,-in-ˈsef-ə-lə-ˌgram,,the tracing of brain waves made by an electroencephalograph,noun
electroencephalograph,-ˌgraf,,an apparatus for detecting and recording brain waves —called also encephalograph,noun
electromyographically,-ˌgraf,,an instrument that converts the electrical activity associated with functioning skeletal muscle into a visual record or into sound and has been used to diagnose neuromuscular disorders and in biofeedback training,noun
heterotransplantation,ˌhet-ə-rō-ˈtran(t)s-ˌplant,,xenograft,noun
hexachlorocyclohexane,"ˌhek-sə-ˌklōr-ō-ˌsī-klō-ˈhek-ˌsān, -ˌklȯr-",,a derivative of cyclohexane containing six atoms of chlorine; especially : benzene hexachloride,noun
hydroxycorticosterone,"-ˌkȯrt-ə-ˈkäs-tə-ˌrōn, -i-kō-stə-ˈ; -ˌkȯrt-i-kō-ˈsti(ə)r-ˌōn, -ˈste(ə)r-",,a hydroxy derivative of corticosterone; especially : cortisol,noun
immunoelectrophoresis,"ˌim-yə-nō-ə-ˌlek-trə-fə-ˈrē-səs, im-ˌyü-nō-",,electrophoretic separation of proteins followed by identification by the formation of precipitates through specific immunologic reactions,noun
